IT-Lav,45.9562,11.2813,enf
SE-Nor,60.08649722,17.47950278,enf
DE-Wet,50.4535,11.45753333,enf
CZ-BK1,49.50207615,18.53688247,enf
NL-Loo,52.166581,5.743556,enf
SE-Htm,56.09763,13.41897,enf
DE-Obe,50.78666,13.72129,enf
CZ-Stn,49.035975,17.9699,dbf
SE-Sk2,60.12966667,17.84005556,enf
DE-Bay,50.14194,11.86694,enf
FI-Hyy,61.84741,24.29477,enf
BE-Vie,50.304962,5.998099,mf
DE-Hzd,50.96381,13.48978,dbf
DE-RuW,50.50490703,6.33101886,enf
SE-Ros,50.50490703,6.33101886,enf
FR-Pue,43.7413,3.5957,enf
DE-Lkb,49.09961667,13.30466667,enf
FI-Let,60.64183,23.95952,enf
IT-La2,45.9542,11.2853,enf
IT-Ren,46.58686,11.43369,enf
SE-Svb,64.25611,19.7745,enf
DE-Hai,51.079213,10.452168,dbf
CZ-Lnz,48.681611,16.946416,mf
